[DEBUG] 2021-09-15 09:30:31 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 09:32:28 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 09:37:43 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 09:40:24 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 09:55:06 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 09:55:07 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 10:05:41 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 10:06:36 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 10:07:03 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 10:07:37 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 10:13:26 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-15 10:13:28 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-17 14:30:58 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
